name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Ama Global Okra Cut 1.5Kg,Other,AOC,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f19,41.62,True,False,,0.0,800.0
Shopping Bag,Disposables,BAG,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f1d,25.0,True,False,,0.0,4.0
Zipper Seal,Disposables,667888060924,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f1e,137.2,True,False,,0.05,125.0
Ziploc 3Medium Container Set,Other,025700709336,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f20,49.8,True,False,,0.12,500.0
Plastic Cup,Utensils,056871788523,69fc370f5297fb4d17052acc,False,False,,,False,,10.0,6a08cff88106089547156f28,98.4,True,False,,0.05,249.0
Hersheyschipitsmc270G,Other,056600901520,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f29,50.45,True,False,,0.0,347.0
Chakki Atta ( Deep),Other,011433158374,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f2a,0.0,True,False,,0.0,1899.0
Clorox Clog Remover 946Ml,Other,055500016983,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f2c,57.8,True,False,,0.05,500.0
Dahi Container Glas,Utensils,876920190387,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f2d,37.64,True,False,,0.12,1307.0
Hercules 20 Bags,Disposables,055966908051,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f2e,24.75,True,False,,0.05,400.0
Ziploc Bag X 20 Small,Other,067140001809,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f3b,47.75,True,False,,0.05,400.0
Soft Corn Tortilas Gluten Free400G,Bakery,628942374074,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f46,54.86,True,False,,0.0,350.0
Ziploc Bags X 16 Medium,Disposables,067140003315,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f49,47.75,True,False,,0.12,400.0
Guruji Barley Flour2Lb,Other,069184121383,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f4b,97.67,True,False,,0.0,300.0
Arizonalxrblueberry473Ml,Beverages,613008764760,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f4d,37.11,True,False,,0.0,291.0
Armstrong Tripple Cheddar500G,Other,061120101848,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f4f,43.82,True,False,,0.0,1028.0
Patanjali Kesh Kanti Natural Hair Cleanser200Ml,Other,8904109450020,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f51,60.66,True,False,,0.0,399.0
Uncle-G Aam Papad Sweet 150G,Other,9780201379716,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f54,53.11,True,False,,0.05,225.0
Verka Combo Rusk 1.05Kg,Other,884282112183,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f56,45.69,True,False,,0.0,541.0
Cavendish Fries 2.25Kg,Other,056210255525,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f57,45.11,True,False,,0.0,849.0
Adh Mustard Oil 500Ml,Other,732131951516,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f61,36.64,True,False,,0.0,292.0
Jimikhand,Other,JIM,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f69,39.8,True,False,,0.0,500.0
Rubicon Pineapple & Coconut 1L,Other,064579332740,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f6a,48.0,True,False,,0.05,266.0
Maggi Masala  Atta Noodles 290G,Other,8901058005868,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f74,44.22,True,False,,0.0,225.0
A-One Cookies 2.5Lb,Bakery,56420555,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f86,38.08,True,False,,0.0,499.0
A -One Sooji Cookie 2.5Lb,Bakery,689462000232,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f87,39.8,True,False,,0.0,500.0
G Choice Peanut Gachak 400Gm,Bakery,882476001480,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f8a,47.5,True,False,,0.0,200.0
Frontier Punjabi Cookies 2.5 Lb,Bakery,628242840088,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f8f,37.25,True,False,,0.0,400.0
20 Dinner Rolls,Bakery,063400266483,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f92,38.35,True,False,,0.0,339.0
Teja Jeera Biscuits 400G,Bakery,817525012902,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f93,35.25,True,False,,0.0,295.0
Coconut Cookies,Bakery,071248283005,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f9b,2109.11,True,False,,0.0,9.0
Aapki Pasand Sooji Rusk 600G,Bakery,628114900643,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa0,40.5,True,False,,0.0,280.0
Barkat Jeera Cookies 1.25Lb,Bakery,4872423742340,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa1,40.57,True,False,,0.0,350.0
Jursk Mini Cupcake,Bakery,770981054292,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fa8,56.89,True,False,,0.0,377.0
Coarse Bread Crumbs,Bakery,675786000591,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fb4,25.06,True,False,,0.0,399.0
Cereal Cheerios,Bakery,065633158115,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fb6,16.69,True,False,,0.0,599.0
Wonder Bread,Bakery,063400020405,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fbb,22.02,True,False,,0.0,327.0
Pk Suji Rusk 600G,Bakery,8906151121200,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc4,33.07,True,False,,0.0,375.0
Cornflakes Cookies,Bakery,8906070991595,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc8,7.61,True,False,,0.0,92.0
Tortillas Casa Mendosa Wrap,Bakery,063400170100,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fcb,27.88,True,False,,0.0,312.0
Rumali Roti 600Gm,Bakery,627265008673,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd7,33.44,True,False,,0.0,299.0
Verka Flax Seed Gur Cookies 2.5Lb,Bakery,884282111018,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd8,31.14,True,False,,0.0,533.0
Buns Master 1 Lb Bread Crumbs,Bakery,675786000621,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd9,25.06,True,False,,0.0,399.0
Brit Toastea Cake Rusk 550G,Bakery,6291007912050,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe0,53.33,True,False,,0.0,450.0
Nutri Mango Rolls,Bakery,062863911169,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe4,33.0,True,False,,0.05,300.0
Best Baker Plum Cake 500G,Bakery,8906133641924,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe5,39.81,True,False,,0.0,775.0
Best Bakers Carrot Dates Cake 400G,Bakery,8906133641931,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fec,47.83,True,False,,0.0,600.0
Britania Treat Orange,Bakery,8901063165144,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fef,28.95,True,False,,0.05,38.0
Sweetened Condensed Creamer,Bakery,626800001506,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ff7,48.91,True,False,,0.0,165.0
Bikano Jeera Cookies 400Gm,Bakery,8901414002760,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ffa,43.09,True,False,,0.0,275.0
